,year,size,distance,smoke_impact_estimate
0,1961,164.6802828676152,3005.3458468436593,0.0027924353034562673
1,1962,2101.256033503133,1224.4562149512406,0.008621301864489991
2,1963,612.935298682439,2330.9872430161577,0.0025610219052211373
3,1964,34.603415554988025,1137.0590730991842,0.000878296145060271
4,1965,69.67782634995974,4335.53677859599,0.0015814968297364433
5,1966,45.0288900734094,3249.4236015558945,0.002883294780366174
6,1967,1079.8395414400359,3894.2744397259603,0.025754140495178095
7,1968,944.8204717143877,4409.3231894557375,0.0041922480885476995
8,1969,583.8498843669483,8854.249881163338,0.03390800573796042
9,1970,3751.9382543018633,39117.32207687277,0.019846202670220598
10,1971,2000.088038168113,36293.6026904838,0.02769939961487018
11,1972,591.6349943300996,19273.581634456386,0.00884349845493954
12,1973,545.8000234412552,20942.95235965614,0.003422514792935789
13,1974,1494.396413336891,35066.37909193771,0.016215380527204382
14,1975,1362.2581242412905,34150.90711512729,0.01815746842014083
15,1976,5208.96817934994,51398.86446855414,0.08838484688916506
16,1977,4846.067690481814,35955.27312178159,0.03199562530116013
17,1978,5261.050548273173,45976.00671152135,0.06935636880713202
18,1979,3331.618818331266,41478.754484014615,0.025200271778795736
19,1980,28826.115952340642,39748.131319804044,0.15000231634937672
20,1981,5053.502215894055,47261.042990192786,0.033030677034822355
21,1982,1199.181641152301,34334.6843202042,0.009859596073397054
22,1983,2124.722154321409,27500.220342376986,0.012924664227582221
23,1984,40833.45575968971,45466.610836993495,0.15976196051414773
24,1985,397120.9787043786,109917.92763673805,1.8128430905124437
25,1986,186711.53428967777,105247.71352045824,0.859929476443175
26,1987,951935.8156575005,90955.23609202912,18.384724984800858
27,1988,126806.93686545343,69342.16939925952,0.9475074268733169
28,1989,86971.39934265193,50892.46588767252,0.4204455888906712
29,1990,99117.20381170015,60602.27380370243,0.5150715392138734
30,1991,726958.9653769374,112089.0193247473,7.688120915512885
31,1992,176943.5647874266,94659.48795072915,0.6335486120135551
32,1993,124737.37892468616,75143.6864932572,0.9414332291550132
33,1994,354171.37784745917,110221.92044547618,2.9642666059472766
34,1995,186737.74209785525,130558.74334891606,1.893942533297593
35,1996,523540.552629189,120440.24638622503,2.809147257517221
36,1997,119842.19389292478,79603.63032105804,1.3451986130270481
37,1998,607862.1702406611,150787.1456270803,3.3227037238894037
38,1999,464501.389289018,181618.98098792043,7.927402032345787
39,2000,622979.4959273554,189420.34217992416,9.050066638953254
40,2001,608453.6946655357,166609.47057393505,12.489513898146239
41,2002,454639.7369359363,168835.47112945784,3.5962772272626045
42,2003,537627.774351619,183803.2810850361,4.894520726277549
43,2004,655245.2048903288,197781.4690045312,5.534088165329082
44,2005,956157.1872712737,261510.66206165092,18.943632192151004
45,2006,1124451.4530753784,358665.07880613994,17.930892907772648
46,2007,1911364.2056078746,410162.4705286472,15.384814803870798
47,2008,1540102.8725133128,413604.65071633214,14.435621030772111
48,2009,3468509.6869092416,499562.99196006556,23.169141267985157
49,2010,1661329.5597270064,511531.26624109055,29.876211825144566
50,2011,3815666.845500598,1192905.2852634985,28.12930292271287
51,2012,1477078.5747251634,494776.5399677236,45.12840916475987
52,2013,1150205.6459999867,361754.3509787805,15.67539150972358
53,2014,3035679.7845153124,527858.1794392683,54.66463653891551
54,2015,2262434.603009323,503425.8740053508,14.720664373415032
55,2016,3283583.927416811,669631.1279748497,67.50592166576675
56,2017,2680166.3557352307,531462.248507103,30.7259851284126
57,2018,1893882.0296165212,557044.771438575,35.95626767903241
58,2019,819064.7301159735,390268.42421927775,10.67420187829762
59,2020,781095.01204666,413570.01662235765,25.162728911541212
