year,max_aqi
1988.0,25.53707298136646
1989.0,15.526084799861975
1990.0,20.03249870600414
1991.0,16.30656702898551
1992.0,14.751667974882261
1993.0,18.409840838509318
1994.0,24.468426501035196
1995.0,15.90079365079365
1996.0,21.882278726708076
1997.0,48.71915285451197
1998.0,50.75
1999.0,57.0397509578544
2000.0,49.71739130434783
2001.0,41.77049180327869
2002.0,47.01358695652174
2003.0,41.32044198895028
2004.0,33.18478260869565
2005.0,42.48277467411546
2006.0,40.60054347826087
2007.0,47.103550295857985
2008.0,38.025815217391305
2009.0,29.497282608695652
2010.0,37.713315217391305
2011.0,34.74313186813187
2012.0,36.79076086956522
